Scenario	Replication	[EntitySink1].NumberProcessed		[CycleTime].NumberProcessed		[CycleTime].SampleAverage /1[h]		[CycleTime].SampleStandardDeviation /1[h]		[New].SampleAverage /1[h]		[New].SampleStandardDeviation /1[h]		[Return].SampleAverage /1[h]		[Return].SampleStandardDeviation /1[h]		[FU].SampleAverage /1[h]		[FU].SampleStandardDeviation /1[h]		[WaitingTime].SampleAverage /1[h]		[WaitingTime].SampleStandardDeviation /1[h]		[RejectedClosing].SampleAverage		[RejectedClosing].SampleStandardDeviation	
1	1	16884.0		16099.0		1.5478397118633949		0.7897516569199217		1.5891667336105078		0.7144668937436087		1.3535824882633132		0.6956464521631349		1.7781181173983567		0.9143699893658027		1.0202098544775338		0.7653644854694535		0.046493721866856144		0.21055802414955124	
1	2	17131.0		16320.0		1.5617058726165969		0.7867029267862271		1.6165481115996456		0.7332988834917074		1.36993060785686		0.722798366536003		1.7717730574887687		0.8595419960232238		1.0347586277820584		0.7661448975688945		0.04734107757865839		0.21237356886968844	
1	3	16916.0		16217.0		1.526654789744623		0.7415216739931308		1.5710503525958295		0.6892858681410331		1.339633430849513		0.6629536973088118		1.7431942309019315		0.828856577381088		0.9958352091348908		0.7185041683528952		0.041321825490659506		0.19903937849943035	
1	4	16890.0		16108.0		1.5397323968635095		0.7616818321052046		1.589573469726298		0.7136131514926329		1.351724407039342		0.6760469551103048		1.7559323299162677		0.8560367601115503		1.0155935456702374		0.7442771012681664		0.046299585553581955		0.2101393547387921	
1	5	17033.0		16185.0		1.5817447798902908		0.78605766077683		1.640151949332942		0.7548263290071789		1.3996608389458158		0.7200960495766988		1.7704857466447654		0.8485513224233246		1.0563702564176756		0.767442020385891		0.04978571009217372		0.21750832329973904	
1	6	16966.0		16200.0		1.5454788617294124		0.7643756976355309		1.607785457487582		0.7234301930550805		1.3496802825313081		0.6883558396358405		1.7492064312559816		0.8386047485051471		1.019275554141091		0.7421030450831956		0.04514912177295752		0.20763723107897905	
1	7	16954.0		16235.0		1.526378167624854		0.7459548170601694		1.5748316131091034		0.6899206754323154		1.3410082169567288		0.6689047291258452		1.734929902007741		0.8379534994433241		0.9988202341853738		0.7226108265866029		0.04240887106287599		0.20152606329068612	
1	8	17164.0		16342.0		1.5723557444501126		0.7879559707250654		1.6104688222092693		0.7451938502888497		1.3831580140210749		0.702912731373165		1.7963740058168405		0.8742949028177712		1.0486062704759658		0.7644626159760759		0.0478909345140993		0.2135416812515337	
1	9	17017.0		16166.0		1.5738257828171593		0.7917494706510416		1.6347325192379174		0.7539777925863426		1.3867342160890268		0.7153893746132292		1.7698368050692435		0.8704109581022615		1.045366241046289		0.7685012055499042		0.05000881471469677		0.21796955090587256	
1	10	17023.0		16222.0		1.5395542060096365		0.7788055509042348		1.5988223219271187		0.7381045012465994		1.3487335245418264		0.6974105423106532		1.747808071112312		0.8617767828700015		1.0141267519511232		0.7572743876085682		0.04705398578393951		0.21176057810280996	
1		16997.8	68.19412100291343	16209.4	56.28517832467087	1.5515270313609588	0.014169429766975161	0.7734557257557356	0.013425749561547417	1.6033131350836212	0.016608203079014915	0.7256118138485349	0.01706623557487057	1.3623846027094808	0.015050438044061424	0.6950514737753686	0.015076969324538147	1.761765869761221	0.013399375348492672	0.8590397537043495	0.017396777264269775	1.0248962545282239	0.014793865829744245	0.7516684753849646	0.013519027369723565	0.046375364843049875	0.0020135788100058374	0.21020537541870823	0.00438747770053608
