sim	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
1	1	1	1	3	2	2	3	1	2	2	2	3	2	3	1	3	1	2	3	1	3	2	1	3	1	2	3	2	3	1	2	1	3	1	2	2	2	3	2	2	0	0
2	2	3	2	3	2	1	2	1	1	3	1	2	2	1	3	1	3	1	2	3	2	3	2	1	3	1	2	2	3	1	3	1	1	3	2	2	3	2	2	2	0	0
3	1	2	3	1	3	1	1	2	3	2	2	2	1	2	3	2	3	1	1	3	2	1	3	1	2	1	2	3	2	3	2	2	2	3	2	3	1	1	3	2	0	0
4	2	3	2	3	1	2	1	2	2	1	3	2	1	2	1	3	1	3	1	1	2	2	1	2	3	1	1	2	3	1	3	2	3	2	2	3	2	3	2	3	0	0
5	1	3	2	1	3	2	3	2	3	1	1	3	2	3	2	2	1	3	2	1	3	2	1	2	3	2	2	2	2	3	2	1	2	1	3	1	1	2	3	1	0	0
6	1	2	3	1	1	1	2	3	2	2	2	2	3	1	2	3	1	3	1	1	3	2	3	2	1	3	2	1	1	2	3	1	3	2	2	3	2	2	3	2	0	0
7	1	1	1	3	2	1	3	2	1	3	1	3	1	2	2	2	3	1	2	3	2	3	2	1	3	1	3	2	2	2	2	2	3	1	3	2	2	2	1	3	0	0
8	1	2	3	1	2	1	3	2	3	2	3	2	2	2	3	2	1	3	1	1	1	1	3	1	3	2	3	2	2	1	2	2	1	2	3	1	3	2	2	3	0	0
9	2	1	2	2	3	2	2	2	3	1	2	3	1	3	2	1	1	1	2	1	1	3	2	3	2	3	1	3	1	2	3	2	1	2	3	2	3	2	3	1	0	0
10	1	2	1	1	3	1	3	1	2	3	1	2	2	3	1	3	2	2	3	2	2	2	3	2	3	1	3	2	1	2	2	2	3	2	2	3	1	3	1	1	0	0
11	2	3	2	1	3	2	3	1	3	1	3	2	3	2	1	2	3	1	3	1	1	3	1	2	2	3	2	3	1	2	2	2	2	2	3	1	2	2	1	1	0	0
12	1	3	2	3	1	3	1	3	1	2	3	1	2	1	3	1	3	2	2	1	1	3	2	2	2	3	2	2	2	2	2	1	1	2	2	3	2	3	1	3	0	0
13	1	1	2	2	3	1	2	3	1	3	1	3	2	3	2	1	2	3	1	1	3	1	3	1	2	2	2	1	2	3	2	2	3	2	2	2	2	3	1	3	0	0
