Scenario	Replication	[CycleTime].SampleAverage/1[h]		[New].SampleAverage/1[h]		[Return].SampleAverage/1[h]		[FU].SampleAverage/1[h]		[WaitingRoom].AverageQueueTime/1[h]		[WaitingRoom2].AverageQueueTime/1[h]		[WaitDoc].AverageQueueTime/1[h]		[DocUtil].Value		[PAUtil].Value		[CAUtil].Value		[Rejected].NumberProcessed		[SorryWeAreClosing].NumberProcessed		[SorryWeAreClosing2].NumberProcessed	
1	1	1.6429810609994633		1.5883154760156888		1.4513017041175897		1.947916531348674		0.498206860005323		0.9983745537199812		0.4183517491359756		0.9772043986822223		0.5174113615421875		0.25292053508388884		77.0		1046.0		466.0	
1	2	1.6214990649941956		1.5686699454608213		1.4329429452241904		1.918982802790785		0.47355254148133213		0.9809980967222088		0.41752641923763373		0.9750680832789236		0.5066963760783334		0.2538069266967361		68.0		954.0		463.0	
1	3	1.6378375066005024		1.5883595950398954		1.454373339680958		1.9246820951904904		0.49498614616980335		0.9811436471737892		0.4214841511591535		0.9792839687462153		0.5117549887444097		0.25351064045715277		60.0		1053.0		471.0	
1	4	1.638651235755452		1.5974167697971324		1.4555563453591653		1.9168340711010114		0.5027093524698775		0.9794113855792478		0.41965331969951036		0.9782654169653471		0.5012656871344792		0.2522660046570486		57.0		1086.0		443.0	
1	5	1.6085576826764545		1.560854872668364		1.4298843456873673		1.8856122270839868		0.4796375767688303		0.9508122451195339		0.41442102862024205		0.975601981586493		0.5060140465554166		0.2533095994801736		76.0		1076.0		400.0	
1	6	1.62924591087037		1.5799163524170612		1.4499443227545807		1.9123828974814734		0.49290432087610275		0.9776051278022022		0.4180028429336029		0.9738077287385765		0.5063972737668749		0.2535961117472222		81.0		1031.0		445.0	
1	7	1.6407769427356838		1.6008876221996318		1.4531466870256204		1.9248685852327523		0.5039372637920507		0.9853752920878448		0.41606145131269756		0.9731674527449652		0.5103206612064584		0.25429128657135414		75.0		1017.0		457.0	
1	8	1.6357688943981745		1.5863305486862709		1.4617946922093115		1.9101427177825814		0.498189662198785		0.9708311308808637		0.4240607220452014		0.981317886789375		0.5023135659302778		0.2524045348561458		71.0		1095.0		437.0	
1	9	1.6541776638327879		1.6210986056338963		1.46934730916463		1.9236072585940167		0.5130076177749457		0.9793343026375673		0.42709450671774374		0.982746120647882		0.5104391571147222		0.25218440037972223		61.0		1143.0		464.0	
1	10	1.6501865547015766		1.5967748078610324		1.4707677393597125		1.9356771208911612		0.5089627014903313		0.9971093763090303		0.4226181498400027		0.9814498499593403		0.5090769340606944		0.25340234767826386		62.0		1170.0		489.0	
1		1.635968251756466	0.009604742571577651	1.5888624595779794	0.012154875581683294	1.4529059430583127	0.009589350527528143	1.9200706307496933	0.011759633540183372	0.49660940430273814	0.008771991383786981	0.9800995158032269	0.009549260620925917	0.41992743407017635	0.002774550835541928	0.9777912888139341	0.0024154749549217844	0.5081690052133854	0.0033785717916170583	0.2531692387607708	5.041558750940606E-4	68.8	6.0112292386832165	1067.1000000000001	44.4878530122549	453.5	17.280423287639692

2	1	1.5835620726125619		1.5938005991856241		1.394710216072571		1.8174282090204694		0.4782019080698148		0.843516655833584		0.41486771813609147		0.971810599032639		0.5126844995928472		0.2509552321105903		76.0		1159.0		603.0	
2	2	1.5646724090273063		1.5891531449285938		1.382593092416477		1.7764699196689897		0.47039428155513785		0.8106455643250384		0.41425670831315364		0.9714270923269096		0.49887431378388886		0.25212006384319446		67.0		1099.0		551.0	
2	3	1.575834954084516		1.5923974591980525		1.3833252121277997		1.808927962362711		0.46682764088325335		0.8345825843084912		0.420703789194775		0.9778312078909027		0.5041016784033333		0.2517745725509028		59.0		1150.0		614.0	
2	4	1.5608723257351804		1.5631343968362141		1.37505983646699		1.798788287742825		0.4465053387136024		0.8288910109471181		0.4189066302670621		0.9754482132353819		0.4973892276172222		0.2513352900696875		55.0		1076.0		571.0	
2	5	1.555568220548368		1.5774727603876133		1.3807192367834662		1.758284111209142		0.46327980679133307		0.7807824886472695		0.416518629799265		0.9767859078105903		0.49836120229954856		0.2520277702298611		74.0		1145.0		499.0	
2	6	1.5614648270260518		1.5851956002690164		1.382316925313396		1.7693382096421078		0.46492045247857		0.8014192059456592		0.4176630362639963		0.9745172521575		0.5006885464604166		0.25187897186888886		78.0		1135.0		578.0	
2	7	1.5541909578133808		1.5761926787304184		1.3689913020702202		1.7747108119291184		0.4577657203670709		0.8097384653932825		0.41208015559882927		0.9719213953783334		0.5007612512963889		0.252815106570625		74.0		1087.0		588.0	
2	8	1.563558472104439		1.5891590254203305		1.382194516949804		1.7719199888901631		0.4722335990943454		0.8089595399753768		0.41811432970504064		0.9753191968046875		0.4951427654977431		0.2503096737589236		71.0		1209.0		611.0	
2	9	1.592701968267573		1.613930102676851		1.4078648105260014		1.8084495197964503		0.4836182169760552		0.82814178594007		0.42445707118010667		0.9826760687500347		0.5031855032598264		0.25102445644128474		59.0		1207.0		559.0	
2	10	1.583323347017776		1.5975858996823522		1.3924775644249643		1.8160933150926768		0.47636613187131277		0.845335151460675		0.42066068944893215		0.9790030095705902		0.5014032533854861		0.25217972137218747		60.0		1209.0		620.0	
2		1.5695749554237153	0.009517448465766904	1.5878021667315068	0.009819165981029804	1.385025271315169	0.007799704073264434	1.7900410335354655	0.015790052218880204	0.46801130968004956	0.0076950628542404986	0.8192012452776565	0.014590375090907565	0.41782287579072525	0.0025876684036410637	0.975673994295757	0.002552044633836075	0.5012592241596701	0.00345028685085458	0.2516420858816146	5.244823380820685E-4	67.3	6.013593165487668	1147.6000000000001	35.78951366867115	579.4	26.373191218356563

3	1	1.5326385020847229		1.5213374900119252		1.4426138066998715		1.6695634162038386		0.4709875435079155		0.7076864009875593		0.4084741977443306		0.9780515651580207		0.5030586455567014		0.2533445445391319		90.0		662.0		777.0	
3	2	1.5231732813507872		1.5199438014384141		1.446042539036836		1.6337134599793917		0.4735657076239852		0.6783427303280265		0.40623045744049485		0.9781669661578472		0.4911936380545486		0.2539988450170833		77.0		631.0		755.0	
3	3	1.5399490400704527		1.5292652704075789		1.456894554755207		1.6660768838251192		0.4828204199578978		0.7023024473900294		0.41052289505818645		0.9816112400570138		0.4964754168967013		0.2540425169760764		73.0		684.0		754.0	
3	4	1.5268804914559946		1.5269528762538294		1.438778873162666		1.6486919563612006		0.47828037378021376		0.6867180758491765		0.4081040050951151		0.9761574313994097		0.4880368619345833		0.25286280601131944		68.0		705.0		729.0	
3	5	1.527556242002907		1.5289543555639695		1.4459339502487967		1.6396751871133406		0.4780639369637136		0.6774114255205936		0.4109900996476778		0.9805027207530902		0.4890105190552083		0.2538268880819792		93.0		656.0		740.0	
3	6	1.5217638371143984		1.5171344643968776		1.4446914065418073		1.6337813363397091		0.46837954563422973		0.6697368937613103		0.407627930533263		0.9819493646755207		0.4939334407398611		0.25500958338819446		89.0		584.0		689.0	
3	7	1.5328184322650056		1.534674946118385		1.445418695816991		1.6529193936842397		0.4798654649238884		0.6915812533209516		0.40582615493517765		0.9772392425114237		0.49435984199093747		0.25516547447493054		89.0		602.0		734.0	
3	8	1.534668835513045		1.5288432288640936		1.4536197804806772		1.6532044333134799		0.4778860941172629		0.6951031930912405		0.4145607608644831		0.982778966948993		0.48579478077381943		0.25257100574402774		81.0		714.0		787.0	
3	9	1.5739931181481481		1.573411657320272		1.4927108469531816		1.6875203309355271		0.5131460109622206		0.712756867629955		0.4231478291913758		0.9870314226685069		0.49040696889163193		0.2519632903730903		72.0		806.0		822.0	
3	10	1.5482953778588		1.535287277243258		1.4652068177253215		1.677667109222795		0.48601271805983337		0.714140284156006		0.41334323651087895		0.9855246942996181		0.49463455418656255		0.25461853105881943		71.0		706.0		779.0	
3		1.5361737157864261	0.011068134606323254	1.5315805367618602	0.011343493218356109	1.4531911271421354	0.011375413443570645	1.656281350697864	0.013222512515527283	0.4809007815531161	0.008932603084716528	0.6935779572034849	0.011135334691026918	0.4108827567020984	0.0037052354926761927	0.9809013614629445	0.0025653032120613903	0.4926904668080555	0.0035376957641143417	0.2537403485664653	7.551602993224897E-4	80.3	6.65103224770411	675.0	45.677715792276665	756.6	26.386122000779125

4	1	1.4715561518593363		1.5620455731483305		1.3437915230522328		1.5542900433897318		0.44169936524814746		0.638033259896005		0.41825285165856424		0.9701635345284028		0.4413637634015624		0.24116971989121527		151.0		1054.0		1988.0	
