"sim"	"util"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"
1	26	2	3	2	2	3	1	3	1	2	2	1	1	3	2	3	2	3	1	3	2	2	1	2	1	3	2	2	3	1	1	1	2	2	3	2	3	1	0	0	0	0	0
2	26	1	1	1	3	2	2	3	1	2	2	2	3	2	3	1	3	1	2	1	3	1	3	1	2	3	2	3	2	2	1	3	1	2	2	3	2	2	0	0	0	0	0
3	26	2	3	2	3	2	1	2	1	1	3	1	2	2	1	3	1	3	2	2	2	3	2	1	3	1	2	3	1	3	1	1	3	2	3	2	2	2	0	0	0	0	0
4	26	1	2	3	1	3	2	1	2	3	2	2	2	1	2	3	2	3	1	1	3	2	1	3	1	2	1	2	2	3	2	2	3	3	1	1	3	2	0	0	0	0	0
5	26	2	3	2	3	1	2	1	2	2	1	3	2	1	2	1	3	1	3	1	1	2	2	3	1	1	2	3	1	3	2	3	2	2	2	3	2	3	0	0	0	0	0
6	26	1	3	1	3	2	3	2	3	1	1	2	3	2	2	1	3	2	1	3	2	1	2	3	2	2	2	2	3	2	1	1	3	1	1	2	3	2	0	0	0	0	0
7	26	1	2	1	1	1	2	3	2	2	2	2	3	1	2	3	2	3	1	1	3	2	3	2	1	3	2	1	1	2	3	1	3	2	2	3	2	3	0	0	0	0	0
8	26	1	2	1	3	2	1	3	2	1	3	1	3	1	2	3	1	2	2	3	2	1	3	1	3	2	2	2	2	2	3	1	3	2	2	2	1	3	0	0	0	0	0
9	26	1	2	3	1	2	1	3	2	3	2	3	2	2	2	3	2	1	3	1	1	1	1	3	1	3	2	3	2	2	1	2	1	2	3	2	3	2	0	0	0	0	0
10	26	2	1	2	3	2	2	2	3	1	3	1	3	2	1	1	1	2	1	1	3	2	3	2	3	1	3	1	2	3	2	1	2	3	2	2	3	2	0	0	0	0	0
11	26	1	2	1	1	3	1	3	1	2	1	2	2	3	2	3	2	2	3	2	2	2	3	3	1	3	2	1	2	2	3	2	2	3	1	3	1	1	0	0	0	0	0
12	26	2	3	2	1	3	2	3	1	3	2	3	2	3	2	1	2	1	3	1	1	3	1	2	2	3	2	3	1	2	2	2	3	1	2	2	1	1	0	0	0	0	0
13	26	1	3	2	1	3	1	3	1	2	3	1	2	1	3	1	3	2	1	1	3	2	2	2	3	2	2	2	2	1	2	2	2	3	2	3	1	3	0	0	0	0	0
14	26	1	1	2	3	1	2	3	1	3	1	3	2	3	2	1	2	2	1	3	1	3	1	2	2	1	2	3	2	2	3	2	2	2	2	3	1	3	0	0	0	0	0
15	26	1	3	2	3	2	3	2	2	3	2	2	3	2	3	1	1	3	1	3	1	2	2	2	2	1	1	3	1	3	2	1	3	2	2	1	2	1	0	0	0	0	0
16	26	1	3	1	2	1	2	3	2	3	2	1	2	2	1	2	3	2	3	2	3	3	2	1	3	1	1	3	2	3	1	1	1	2	3	2	2	2	0	0	0	0	0
17	26	2	2	3	2	1	2	2	2	3	1	2	3	2	2	3	2	3	1	1	1	2	2	3	2	1	2	3	1	3	2	1	3	1	1	3	1	3	0	0	0	0	0
18	26	2	2	1	1	2	2	3	1	1	2	3	2	3	1	2	1	2	3	1	2	2	3	2	3	1	1	3	2	3	1	2	3	3	2	1	2	3	0	0	0	0	0
19	26	1	2	2	3	2	1	3	1	3	1	2	2	3	2	1	2	3	2	1	2	3	2	3	2	3	1	1	2	3	2	1	2	3	1	3	1	2	0	0	0	0	0
20	26	2	3	2	2	2	2	3	2	3	1	2	3	1	3	1	3	2	2	1	3	1	2	2	3	2	2	1	1	3	1	1	1	3	2	2	1	3	0	0	0	0	0
21	26	2	1	2	1	2	3	1	1	3	2	2	2	3	1	2	3	2	3	2	3	2	2	2	1	3	1	3	2	3	1	1	1	1	2	3	2	3	0	0	0	0	0
22	26	2	2	3	2	3	2	1	1	3	2	1	2	1	1	1	3	2	1	3	2	2	3	1	1	3	2	2	2	3	1	1	3	2	3	2	3	2	0	0	0	0	0
